2024-12-09 13:21:26,597 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:21:28,382 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:22:23,831 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:22:25,288 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:23:27,185 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:23:28,438 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:25:20,997 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:25:22,618 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:25:57,724 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:25:59,194 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:26:39,855 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:26:41,393 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:27:58,423 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:27:59,981 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:28:18,534 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:28:19,687 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:30:01,388 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 13:30:02,542 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:30:06,870 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 13:30:08,321 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:30:10,774 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\work_shift_scheduler\settings.py changed, reloading.
2024-12-09 13:30:12,215 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:31:42,417 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:31:43,702 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:31:46,121 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:31:47,291 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:32:27,707 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:32:29,064 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:32:37,905 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:32:39,237 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
